campaign_id,date,impressions,clicks,cost,conversions,ctr,cpc,cpa
Search_Google,2025-11-10,6976,405,1148.18,27,0.058056,2.835,42.5252
Social_FB,2025-11-10,17041,424,626.73,12,0.024881,1.4781,52.2275
Social_IG,2025-11-10,7085,152,138.97,6,0.021454,0.9143,23.1617
Display_Programmatic,2025-11-11,23914,182,151.56,2,0.007611,0.8327,75.78
Email_Newsletter,2025-11-11,3088,150,139.38,17,0.048575,0.9292,8.1988
Search_Google,2025-11-11,7826,376,1299.74,15,0.048045,3.4568,86.6493
Social_FB,2025-11-11,10971,197,177.51,9,0.017956,0.9011,19.7233
Social_IG,2025-11-11,10973,193,262.21,7,0.017589,1.3586,37.4586
Display_Programmatic,2025-11-12,11071,71,68.51,1,0.006413,0.9649,68.51
Email_Newsletter,2025-11-12,2331,112,67.0,13,0.048048,0.5982,5.1538
Search_Google,2025-11-12,11640,288,920.07,20,0.024742,3.1947,46.0035
Social_FB,2025-11-12,13801,232,192.87,9,0.01681,0.8313,21.43
Social_IG,2025-11-12,16569,191,205.97,5,0.011528,1.0784,41.194
Display_Programmatic,2025-11-13,30590,200,114.99,1,0.006538,0.575,114.99
Email_Newsletter,2025-11-13,6114,205,85.3,13,0.03353,0.4161,6.5615
Search_Google,2025-11-13,7161,401,830.3,15,0.055998,2.0706,55.3533
Social_FB,2025-11-13,18294,207,327.6,7,0.011315,1.5826,46.8
Social_IG,2025-11-13,7550,83,119.91,2,0.010993,1.4447,59.955
Display_Programmatic,2025-11-14,15576,50,51.64,1,0.00321,1.0328,51.64
Email_Newsletter,2025-11-14,8023,266,141.76,27,0.033155,0.5329,5.2504
Search_Google,2025-11-14,5765,327,1152.23,13,0.056722,3.5236,88.6331
Social_FB,2025-11-14,14838,223,260.35,7,0.015029,1.1675,37.1929
Social_IG,2025-11-14,16508,343,483.66,13,0.020778,1.4101,37.2046
Display_Programmatic,2025-11-15,29797,144,76.96,1,0.004833,0.5344,76.96
Email_Newsletter,2025-11-15,5891,256,117.05,23,0.043456,0.4572,5.0891
Search_Google,2025-11-15,9776,496,1635.28,43,0.050736,3.2969,38.0298
Social_FB,2025-11-15,19044,212,145.01,4,0.011132,0.684,36.2525
Social_IG,2025-11-15,16563,293,371.22,9,0.01769,1.267,41.2467
Display_Programmatic,2025-11-16,23637,279,233.92,4,0.011804,0.8384,58.48
Email_Newsletter,2025-11-16,4700,243,148.68,17,0.051702,0.6119,8.7459
Search_Google,2025-11-16,5427,243,405.04,18,0.044776,1.6668,22.5022
Social_FB,2025-11-16,18264,456,694.44,13,0.024967,1.5229,53.4185
Social_IG,2025-11-16,17200,349,216.49,9,0.020291,0.6203,24.0544
Display_Programmatic,2025-11-17,31674,248,193.62,3,0.00783,0.7807,64.54
Email_Newsletter,2025-11-17,8920,378,191.01,22,0.042377,0.5053,8.6823
Search_Google,2025-11-17,13009,517,1421.81,27,0.039742,2.7501,52.6596
Social_FB,2025-11-17,14260,302,445.52,14,0.021178,1.4752,31.8229
Social_IG,2025-11-17,13936,276,156.78,10,0.019805,0.568,15.678
Display_Programmatic,2025-11-18,37000,377,164.53,6,0.010189,0.4364,27.4217
Email_Newsletter,2025-11-18,5633,187,143.56,8,0.033197,0.7677,17.945
Search_Google,2025-11-18,7220,403,811.43,17,0.055817,2.0135,47.7312
Social_FB,2025-11-18,20072,418,583.47,11,0.020825,1.3959,53.0427
Social_IG,2025-11-18,12336,129,84.1,2,0.010457,0.6519,42.05
Display_Programmatic,2025-11-19,29061,204,105.28,3,0.00702,0.5161,35.0933
Email_Newsletter,2025-11-19,6484,171,128.48,15,0.026373,0.7513,8.5653
Search_Google,2025-11-19,8816,419,1233.1,34,0.047527,2.943,36.2676
Social_FB,2025-11-19,21229,283,275.38,7,0.013331,0.9731,39.34
Social_IG,2025-11-19,18099,337,367.98,10,0.01862,1.0919,36.798
Display_Programmatic,2025-11-20,11663,61,39.02,1,0.00523,0.6397,39.02
Email_Newsletter,2025-11-20,3356,79,30.89,4,0.02354,0.391,7.7225
Search_Google,2025-11-20,9654,242,532.8,12,0.025067,2.2017,44.4
Social_FB,2025-11-20,10676,221,308.47,9,0.020701,1.3958,34.2744
Social_IG,2025-11-20,14705,238,248.11,8,0.016185,1.0425,31.0138
Display_Programmatic,2025-11-21,16648,158,118.02,2,0.009491,0.747,59.01
Email_Newsletter,2025-11-21,7834,208,110.19,14,0.026551,0.5298,7.8707
Search_Google,2025-11-21,12035,243,624.78,22,0.020191,2.5711,28.3991
Social_FB,2025-11-21,18571,244,167.42,11,0.013139,0.6861,15.22
Social_IG,2025-11-21,7644,136,181.37,6,0.017792,1.3336,30.2283
Display_Programmatic,2025-11-22,12167,111,88.5,2,0.009123,0.7973,44.25
Email_Newsletter,2025-11-22,4138,198,165.65,10,0.047849,0.8366,16.565
Search_Google,2025-11-22,9610,403,1132.66,19,0.041935,2.8106,59.6137
Social_FB,2025-11-22,13892,331,391.68,7,0.023827,1.1833,55.9543
Social_IG,2025-11-22,12756,197,156.51,3,0.015444,0.7945,52.17
Display_Programmatic,2025-11-23,28837,259,170.23,3,0.008982,0.6573,56.7433
Email_Newsletter,2025-11-23,4273,188,142.94,15,0.043997,0.7603,9.5293
Search_Google,2025-11-23,12504,625,2002.94,49,0.049984,3.2047,40.8763
Social_FB,2025-11-23,17663,216,318.05,9,0.012229,1.4725,35.3389
Social_IG,2025-11-23,15452,324,200.49,11,0.020968,0.6188,18.2264
Display_Programmatic,2025-11-24,37857,366,419.2,5,0.009668,1.1454,83.84
Email_Newsletter,2025-11-24,5459,157,43.33,16,0.02876,0.276,2.7081
Search_Google,2025-11-24,5590,187,624.5,8,0.033453,3.3396,78.0625
Social_FB,2025-11-24,13403,255,377.64,6,0.019026,1.4809,62.94
Social_IG,2025-11-24,8821,79,79.48,2,0.008956,1.0061,39.74
Display_Programmatic,2025-11-25,13646,72,37.33,1,0.005276,0.5185,37.33
Email_Newsletter,2025-11-25,5437,152,67.93,12,0.027957,0.4469,5.6608
Search_Google,2025-11-25,7329,358,1061.37,27,0.048847,2.9647,39.31
Social_FB,2025-11-25,14520,374,503.16,11,0.025758,1.3453,45.7418
Social_IG,2025-11-25,14263,205,202.47,6,0.014373,0.9877,33.745
Display_Programmatic,2025-11-26,12800,51,47.38,1,0.003984,0.929,47.38
Email_Newsletter,2025-11-26,4985,158,64.19,11,0.031695,0.4063,5.8355
Search_Google,2025-11-26,8918,206,743.78,8,0.023099,3.6106,92.9725
Social_FB,2025-11-26,9120,189,300.97,4,0.020724,1.5924,75.2425
Social_IG,2025-11-26,10094,181,192.17,3,0.017931,1.0617,64.0567
Display_Programmatic,2025-11-27,15610,175,130.87,2,0.011211,0.7478,65.435
Email_Newsletter,2025-11-27,5585,291,187.1,21,0.052104,0.643,8.9095
Search_Google,2025-11-27,11562,392,897.49,30,0.033904,2.2895,29.9163
Social_FB,2025-11-27,19034,209,272.88,6,0.01098,1.3056,45.48
Social_IG,2025-11-27,18602,179,245.57,5,0.009623,1.3719,49.114
Display_Programmatic,2025-11-28,16282,115,77.49,2,0.007063,0.6738,38.745
Email_Newsletter,2025-11-28,7723,361,158.81,19,0.046743,0.4399,8.3584
Search_Google,2025-11-28,8400,295,783.74,24,0.035119,2.6567,32.6558
Social_FB,2025-11-28,17609,235,211.61,6,0.013345,0.9005,35.2683
Social_IG,2025-11-28,8827,97,67.36,4,0.010989,0.6944,16.84
Display_Programmatic,2025-11-29,28041,228,181.67,4,0.008131,0.7968,45.4175
Email_Newsletter,2025-11-29,4107,224,186.38,20,0.054541,0.8321,9.319
Search_Google,2025-11-29,9249,270,319.46,19,0.029192,1.1832,16.8137
Social_FB,2025-11-29,22120,370,456.28,10,0.016727,1.2332,45.628
Social_IG,2025-11-29,18952,411,524.28,15,0.021686,1.2756,34.952
Display_Programmatic,2025-11-30,28032,294,269.27,3,0.010488,0.9159,89.7567
Email_Newsletter,2025-11-30,6541,198,140.54,23,0.030271,0.7098,6.1104
Search_Google,2025-11-30,9679,326,726.25,16,0.033681,2.2278,45.3906
Social_FB,2025-11-30,19858,203,153.17,4,0.010223,0.7545,38.2925
Social_IG,2025-11-30,8912,181,221.69,6,0.02031,1.2248,36.9483
Display_Programmatic,2025-12-01,21017,194,189.36,3,0.009231,0.9761,63.12
Email_Newsletter,2025-12-01,4126,166,104.1,11,0.040233,0.6271,9.4636
Search_Google,2025-12-01,10672,273,1035.42,22,0.025581,3.7927,47.0645
Social_FB,2025-12-01,22047,414,575.94,19,0.018778,1.3912,30.3126
Social_IG,2025-12-01,9159,139,157.49,5,0.015176,1.133,31.498
Display_Programmatic,2025-12-02,16601,160,124.12,1,0.009638,0.7758,124.12
Email_Newsletter,2025-12-02,2450,121,106.16,9,0.049388,0.8774,11.7956
Search_Google,2025-12-02,6911,250,564.61,19,0.036174,2.2584,29.7163
Social_FB,2025-12-02,15768,197,177.5,5,0.012494,0.901,35.5
Social_IG,2025-12-02,14621,240,179.04,8,0.016415,0.746,22.38
Display_Programmatic,2025-12-03,11864,109,61.38,1,0.009187,0.5631,61.38
Email_Newsletter,2025-12-03,3691,74,17.73,9,0.020049,0.2396,1.97
Search_Google,2025-12-03,4577,178,373.25,10,0.03889,2.0969,37.325
Social_FB,2025-12-03,11521,309,235.37,13,0.026821,0.7617,18.1054
Social_IG,2025-12-03,8620,171,221.99,6,0.019838,1.2982,36.9983
Display_Programmatic,2025-12-04,24197,224,178.84,2,0.009257,0.7984,89.42
Email_Newsletter,2025-12-04,7724,405,267.64,24,0.052434,0.6608,11.1517
Search_Google,2025-12-04,10221,487,903.6,40,0.047647,1.8554,22.59
Social_FB,2025-12-04,16146,201,201.37,10,0.012449,1.0018,20.137
Social_IG,2025-12-04,8438,181,206.53,6,0.021451,1.141,34.4217
Display_Programmatic,2025-12-05,13531,55,47.06,0,0.004065,0.8556,0.0
Email_Newsletter,2025-12-05,6253,214,167.11,19,0.034224,0.7809,8.7953
Search_Google,2025-12-05,8300,339,964.87,24,0.040843,2.8462,40.2029
Social_FB,2025-12-05,19416,236,177.19,10,0.012155,0.7508,17.719
Social_IG,2025-12-05,14778,314,425.61,9,0.021248,1.3554,47.29
Display_Programmatic,2025-12-06,21028,154,84.41,2,0.007324,0.5481,42.205
Email_Newsletter,2025-12-06,3519,112,75.66,9,0.031827,0.6755,8.4067
Search_Google,2025-12-06,8551,195,245.92,7,0.022804,1.2611,35.1314
Social_FB,2025-12-06,25231,655,509.39,25,0.02596,0.7777,20.3756
Social_IG,2025-12-06,10538,230,160.74,3,0.021826,0.6989,53.58
Display_Programmatic,2025-12-07,21299,177,182.94,3,0.00831,1.0336,60.98
Email_Newsletter,2025-12-07,7742,321,276.94,18,0.041462,0.8627,15.3856
Search_Google,2025-12-07,12656,597,2295.99,28,0.047171,3.8459,81.9996
Social_FB,2025-12-07,20857,342,295.82,9,0.016397,0.865,32.8689
Social_IG,2025-12-07,14950,178,99.11,7,0.011906,0.5568,14.1586
Display_Programmatic,2025-12-08,21465,141,117.19,2,0.006569,0.8311,58.595
Email_Newsletter,2025-12-08,6559,238,163.85,22,0.036286,0.6884,7.4477
Search_Google,2025-12-08,11374,326,905.31,21,0.028662,2.777,43.11
Social_FB,2025-12-08,17552,438,279.85,10,0.024954,0.6389,27.985
Social_IG,2025-12-08,7706,82,65.24,3,0.010641,0.7956,21.7467
Display_Programmatic,2025-12-09,17147,128,68.08,1,0.007465,0.5319,68.08
Email_Newsletter,2025-12-09,6480,354,293.82,18,0.05463,0.83,16.3233
Search_Google,2025-12-09,5407,169,212.08,8,0.031256,1.2549,26.51
Social_FB,2025-12-09,13558,277,396.91,6,0.020431,1.4329,66.1517
Social_IG,2025-12-09,16041,235,280.1,4,0.01465,1.1919,70.025
Display_Programmatic,2025-12-10,14084,66,70.67,1,0.004686,1.0708,70.67
Email_Newsletter,2025-12-10,7446,364,177.36,20,0.048885,0.4873,8.868
Search_Google,2025-12-10,11120,595,1806.43,44,0.053507,3.036,41.0552
Social_FB,2025-12-10,19762,439,404.15,16,0.022214,0.9206,25.2594
Social_IG,2025-12-10,13933,281,183.3,6,0.020168,0.6523,30.55
Display_Programmatic,2025-12-11,27184,86,83.35,1,0.003164,0.9692,83.35
Email_Newsletter,2025-12-11,4961,261,231.69,14,0.05261,0.8877,16.5493
Search_Google,2025-12-11,11696,531,1621.39,34,0.0454,3.0535,47.6879
Social_FB,2025-12-11,13209,132,173.49,5,0.009993,1.3143,34.698
Social_IG,2025-12-11,17456,210,297.84,7,0.01203,1.4183,42.5486
Display_Programmatic,2025-12-12,25279,262,87.66,2,0.010364,0.3346,43.83
Email_Newsletter,2025-12-12,7018,385,199.7,30,0.054859,0.5187,6.6567
Search_Google,2025-12-12,9423,412,594.76,23,0.043723,1.4436,25.8591
Social_FB,2025-12-12,22834,256,247.75,9,0.011211,0.9678,27.5278
Social_IG,2025-12-12,12779,258,369.42,11,0.020189,1.4319,33.5836
Display_Programmatic,2025-12-13,16673,111,55.79,2,0.006657,0.5026,27.895
Email_Newsletter,2025-12-13,4119,208,128.18,21,0.050498,0.6163,6.1038
Search_Google,2025-12-13,5191,300,849.16,17,0.057792,2.8305,49.9506
Social_FB,2025-12-13,17101,425,640.08,12,0.024852,1.5061,53.34
Social_IG,2025-12-13,9606,165,213.5,4,0.017177,1.2939,53.375
Display_Programmatic,2025-12-14,23000,120,59.44,2,0.005217,0.4953,29.72
Email_Newsletter,2025-12-14,6850,215,123.17,19,0.031387,0.5729,6.4826
Search_Google,2025-12-14,6703,184,225.76,11,0.02745,1.227,20.5236
Social_FB,2025-12-14,13302,155,164.88,4,0.011652,1.0637,41.22
Social_IG,2025-12-14,12011,201,124.02,4,0.016735,0.617,31.005
Display_Programmatic,2025-12-15,17467,55,27.42,1,0.003149,0.4985,27.42
Email_Newsletter,2025-12-15,3372,69,38.17,5,0.020463,0.5532,7.634
Search_Google,2025-12-15,5181,203,400.32,8,0.039182,1.972,50.04
Social_FB,2025-12-15,12927,237,253.92,9,0.018334,1.0714,28.2133
Social_IG,2025-12-15,15077,182,244.11,6,0.012071,1.3413,40.685
Display_Programmatic,2025-12-16,37242,293,304.85,5,0.007867,1.0404,60.97
Email_Newsletter,2025-12-16,5645,268,155.79,24,0.047476,0.5813,6.4912
Search_Google,2025-12-16,10152,253,710.47,21,0.024921,2.8082,33.8319
Social_FB,2025-12-16,22483,370,560.39,10,0.016457,1.5146,56.039
Social_IG,2025-12-16,16644,320,209.52,7,0.019226,0.6548,29.9314
Display_Programmatic,2025-12-17,29434,319,116.51,4,0.010838,0.3652,29.1275
Email_Newsletter,2025-12-17,4359,197,190.31,12,0.045194,0.966,15.8592
Search_Google,2025-12-17,5884,323,1183.63,15,0.054895,3.6645,78.9087
Social_FB,2025-12-17,8940,178,192.28,8,0.019911,1.0802,24.035
Social_IG,2025-12-17,11559,119,141.4,3,0.010295,1.1882,47.1333
Display_Programmatic,2025-12-18,16922,55,45.13,1,0.00325,0.8205,45.13
Email_Newsletter,2025-12-18,4994,174,117.88,11,0.034842,0.6775,10.7164
Search_Google,2025-12-18,7250,431,1513.81,16,0.059448,3.5123,94.6131
Social_FB,2025-12-18,19811,224,192.0,4,0.011307,0.8571,48.0
Social_IG,2025-12-18,12767,274,356.25,7,0.021462,1.3002,50.8929
Display_Programmatic,2025-12-19,13818,115,91.97,2,0.008322,0.7997,45.985
Email_Newsletter,2025-12-19,5788,195,83.79,23,0.03369,0.4297,3.643
Search_Google,2025-12-19,4935,180,397.3,7,0.036474,2.2072,56.7571
Social_FB,2025-12-19,24907,458,400.55,20,0.018388,0.8746,20.0275
Social_IG,2025-12-19,17558,364,294.42,7,0.020731,0.8088,42.06
Display_Programmatic,2025-12-20,33040,279,219.18,3,0.008444,0.7856,73.06
Email_Newsletter,2025-12-20,4347,210,164.33,19,0.048309,0.7825,8.6489
Search_Google,2025-12-20,10877,486,758.65,36,0.044681,1.561,21.0736
Social_FB,2025-12-20,22589,322,475.99,8,0.014255,1.4782,59.4988
Social_IG,2025-12-20,18658,285,355.63,7,0.015275,1.2478,50.8043
Display_Programmatic,2025-12-21,16347,50,43.96,1,0.003059,0.8792,43.96
Email_Newsletter,2025-12-21,7380,213,101.68,18,0.028862,0.4774,5.6489
Search_Google,2025-12-21,12893,559,1250.83,41,0.043357,2.2376,30.508
Social_FB,2025-12-21,10294,153,185.27,3,0.014863,1.2109,61.7567
Social_IG,2025-12-21,16973,288,190.98,6,0.016968,0.6631,31.83
Display_Programmatic,2025-12-22,27645,315,259.91,5,0.011394,0.8251,51.982
Email_Newsletter,2025-12-22,8090,396,243.18,38,0.048949,0.6141,6.3995
Search_Google,2025-12-22,10125,301,1084.83,24,0.029728,3.6041,45.2012
Social_FB,2025-12-22,17466,204,225.75,8,0.01168,1.1066,28.2188
Social_IG,2025-12-22,18235,211,287.53,7,0.011571,1.3627,41.0757
Display_Programmatic,2025-12-23,13210,77,47.41,1,0.005829,0.6157,47.41
Email_Newsletter,2025-12-23,3001,61,29.47,4,0.020327,0.4831,7.3675
Search_Google,2025-12-23,7797,258,889.26,19,0.03309,3.4467,46.8032
Social_FB,2025-12-23,13243,371,579.89,7,0.028015,1.563,82.8414
Social_IG,2025-12-23,20298,376,283.02,7,0.018524,0.7527,40.4314
Display_Programmatic,2025-12-24,12327,49,35.3,0,0.003975,0.7204,0.0
Email_Newsletter,2025-12-24,7819,323,260.92,33,0.04131,0.8078,7.9067
Search_Google,2025-12-24,12833,535,1942.62,47,0.041689,3.6311,41.3323
Social_FB,2025-12-24,13650,283,275.53,10,0.020733,0.9736,27.553
Social_IG,2025-12-24,17334,285,306.68,9,0.016442,1.0761,34.0756
Display_Programmatic,2025-12-25,42320,244,179.78,4,0.005766,0.7368,44.945
Email_Newsletter,2025-12-25,8697,392,365.42,29,0.045073,0.9322,12.6007
Search_Google,2025-12-25,5019,171,407.96,7,0.034071,2.3857,58.28
Social_FB,2025-12-25,23994,465,510.27,21,0.01938,1.0974,24.2986
Social_IG,2025-12-25,19885,409,513.87,9,0.020568,1.2564,57.0967
Display_Programmatic,2025-12-26,33116,253,245.62,4,0.00764,0.9708,61.405
Email_Newsletter,2025-12-26,7036,242,198.64,26,0.034395,0.8208,7.64
Search_Google,2025-12-26,9090,198,742.11,14,0.021782,3.748,53.0079
Social_FB,2025-12-26,18913,251,310.84,9,0.013271,1.2384,34.5378
Social_IG,2025-12-26,14023,149,127.99,6,0.010625,0.859,21.3317
Display_Programmatic,2025-12-27,14805,130,95.32,2,0.008781,0.7332,47.66
Email_Newsletter,2025-12-27,5120,216,71.78,11,0.042188,0.3323,6.5255
Search_Google,2025-12-27,4966,272,674.53,17,0.054772,2.4799,39.6782
Social_FB,2025-12-27,12186,178,250.76,5,0.014607,1.4088,50.152
Social_IG,2025-12-27,10240,198,133.24,7,0.019336,0.6729,19.0343
Display_Programmatic,2025-12-28,20474,215,88.78,3,0.010501,0.4129,29.5933
Email_Newsletter,2025-12-28,5826,296,172.77,28,0.050807,0.5837,6.1704
Search_Google,2025-12-28,5004,165,329.42,8,0.032974,1.9965,41.1775
Social_FB,2025-12-28,22487,277,372.99,6,0.012318,1.3465,62.165
Social_IG,2025-12-28,17932,337,377.36,7,0.018793,1.1198,53.9086
Display_Programmatic,2025-12-29,41580,125,135.91,1,0.003006,1.0873,135.91
Email_Newsletter,2025-12-29,2877,70,19.16,8,0.024331,0.2737,2.395
Search_Google,2025-12-29,8281,232,335.89,15,0.028016,1.4478,22.3927
Social_FB,2025-12-29,17275,232,223.47,5,0.01343,0.9632,44.694
Social_IG,2025-12-29,11436,208,126.83,6,0.018188,0.6098,21.1383
Display_Programmatic,2025-12-30,25826,206,133.04,2,0.007976,0.6458,66.52
Email_Newsletter,2025-12-30,5496,278,215.01,16,0.050582,0.7734,13.4381
Search_Google,2025-12-30,8650,252,542.01,14,0.029133,2.1508,38.715
Social_FB,2025-12-30,24466,474,340.79,18,0.019374,0.719,18.9328
Social_IG,2025-12-30,11704,193,124.28,6,0.01649,0.6439,20.7133
Display_Programmatic,2025-12-31,19607,86,93.31,1,0.004386,1.085,93.31
Email_Newsletter,2025-12-31,7185,351,303.88,19,0.048852,0.8658,15.9937
Search_Google,2025-12-31,7999,413,576.93,21,0.051631,1.3969,27.4729
Social_FB,2025-12-31,15118,383,555.42,9,0.025334,1.4502,61.7133
Social_IG,2025-12-31,16532,278,289.38,9,0.016816,1.0409,32.1533
Display_Programmatic,2026-01-01,14770,161,148.03,2,0.0109,0.9194,74.015
Email_Newsletter,2026-01-01,7632,318,104.18,30,0.041667,0.3276,3.4727
Search_Google,2026-01-01,13614,572,1298.73,50,0.042016,2.2705,25.9746
Social_FB,2026-01-01,16002,399,652.89,11,0.024934,1.6363,59.3536
Social_IG,2026-01-01,14686,193,104.9,3,0.013142,0.5435,34.9667
Display_Programmatic,2026-01-02,25701,308,243.9,5,0.011984,0.7919,48.78
Email_Newsletter,2026-01-02,3270,140,105.84,15,0.042813,0.756,7.056
Search_Google,2026-01-02,5595,180,507.18,7,0.032172,2.8177,72.4543
Social_FB,2026-01-02,18864,345,516.48,7,0.018289,1.497,73.7829
Social_IG,2026-01-02,11996,146,95.51,4,0.012171,0.6542,23.8775
