campaign_id,date,impressions,clicks,cost,conversions,ctr,cpc,cpa,channel_type,day_of_week,month_name,week_number,quarter,performance_tier
Social_IG,2025-11-07,9286,173,105.14,3,0.018630195993969416,0.6077,35.0467,Social,Friday,November,45,Q4,Medium
Display_Programmatic,2025-11-08,16205,144,76.96,1,0.008886146251157051,0.5344,76.96,Display,Saturday,November,45,Q4,Low
Email_Newsletter,2025-11-08,5427,112,73.11,6,0.020637552975861433,0.6528,12.185,Email,Saturday,November,45,Q4,Medium
Search_Google,2025-11-08,6401,161,549.54,13,0.02515231995000781,3.4133,42.2723,Search,Saturday,November,45,Q4,Medium
Social_FB,2025-11-08,16825,368,253.27,9,0.02187221396731055,0.6882,28.1411,Social,Saturday,November,45,Q4,Medium
Social_IG,2025-11-08,18283,368,467.24,12,0.02012798774818137,1.2697,38.9367,Social,Saturday,November,45,Q4,Medium
Display_Programmatic,2025-11-09,29502,283,154.71,2,0.00959256999525456,0.5467,77.355,Display,Sunday,November,45,Q4,Low
Email_Newsletter,2025-11-09,6975,198,139.77,19,0.02838709677419355,0.7059,7.3563,Email,Sunday,November,45,Q4,Medium
Search_Google,2025-11-09,12268,384,1271.97,17,0.0313009455493968,3.3124,74.8218,Search,Sunday,November,45,Q4,High
Social_FB,2025-11-09,26592,592,511.78,17,0.022262334536702767,0.8645,30.1047,Social,Sunday,November,45,Q4,Medium
Social_IG,2025-11-09,8230,146,196.81,5,0.017739975698663427,1.348,39.362,Social,Sunday,November,45,Q4,Medium
Display_Programmatic,2025-11-10,34156,288,157.3,4,0.008431900690947418,0.5462,39.325,Display,Monday,November,46,Q4,Low
Email_Newsletter,2025-11-10,3513,167,89.56,9,0.0475377170509536,0.5363,9.9511,Email,Monday,November,46,Q4,High
Search_Google,2025-11-10,6976,405,1148.18,27,0.05805619266055046,2.835,42.5252,Search,Monday,November,46,Q4,High
Social_FB,2025-11-10,17041,424,626.73,12,0.02488116894548442,1.4781,52.2275,Social,Monday,November,46,Q4,Medium
Social_IG,2025-11-10,7085,152,138.97,6,0.02145377558221595,0.9143,23.1617,Social,Monday,November,46,Q4,Medium
Display_Programmatic,2025-11-11,23914,182,151.56,2,0.007610604666722422,0.8327,75.78,Display,Tuesday,November,46,Q4,Low
Email_Newsletter,2025-11-11,3088,150,139.38,17,0.048575129533678756,0.9292,8.1988,Email,Tuesday,November,46,Q4,High
Search_Google,2025-11-11,7826,376,1299.74,15,0.04804497827753642,3.4568,86.6493,Search,Tuesday,November,46,Q4,High
Social_FB,2025-11-11,10971,197,177.51,9,0.017956430589736578,0.9011,19.7233,Social,Tuesday,November,46,Q4,Medium
Social_IG,2025-11-11,10973,193,262.21,7,0.01758862662899845,1.3586,37.4586,Social,Tuesday,November,46,Q4,Medium
Display_Programmatic,2025-11-12,11071,71,68.51,1,0.0064131514768313615,0.9649,68.51,Display,Wednesday,November,46,Q4,Low
Email_Newsletter,2025-11-12,2331,112,67.0,13,0.04804804804804805,0.5982,5.1538,Email,Wednesday,November,46,Q4,High
Search_Google,2025-11-12,11640,288,920.07,20,0.024742268041237112,3.1947,46.0035,Search,Wednesday,November,46,Q4,Medium
Social_FB,2025-11-12,13801,232,192.87,9,0.01681037605970582,0.8313,21.43,Social,Wednesday,November,46,Q4,Medium
Social_IG,2025-11-12,16569,191,205.97,5,0.011527551451505825,1.0784,41.194,Social,Wednesday,November,46,Q4,Medium
Display_Programmatic,2025-11-13,30590,200,114.99,1,0.006538084341288003,0.575,114.99,Display,Thursday,November,46,Q4,Low
Email_Newsletter,2025-11-13,6114,205,85.3,13,0.033529604187111546,0.4161,6.5615,Email,Thursday,November,46,Q4,High
Search_Google,2025-11-13,7161,401,830.3,15,0.05599776567518503,2.0706,55.3533,Search,Thursday,November,46,Q4,High
Social_FB,2025-11-13,18294,207,327.6,7,0.011315185306657921,1.5826,46.8,Social,Thursday,November,46,Q4,Medium
Social_IG,2025-11-13,7550,83,119.91,2,0.010993377483443709,1.4447,59.955,Social,Thursday,November,46,Q4,Medium
Display_Programmatic,2025-11-14,15576,50,51.64,1,0.0032100667693888032,1.0328,51.64,Display,Friday,November,46,Q4,Low
Email_Newsletter,2025-11-14,8023,266,141.76,27,0.033154680294154304,0.5329,5.2504,Email,Friday,November,46,Q4,High
Search_Google,2025-11-14,5765,327,1152.23,13,0.056721595836947095,3.5236,88.6331,Search,Friday,November,46,Q4,High
Social_FB,2025-11-14,14838,223,260.35,7,0.015028979646852675,1.1675,37.1929,Social,Friday,November,46,Q4,Medium
Social_IG,2025-11-14,16508,343,483.66,13,0.020777804700751152,1.4101,37.2046,Social,Friday,November,46,Q4,Medium
Display_Programmatic,2025-11-15,29797,144,76.96,1,0.004832701278652213,0.5344,76.96,Display,Saturday,November,46,Q4,Low
Email_Newsletter,2025-11-15,5891,256,117.05,23,0.043456119504328636,0.4572,5.0891,Email,Saturday,November,46,Q4,High
Search_Google,2025-11-15,9776,496,1635.28,43,0.05073649754500818,3.2969,38.0298,Search,Saturday,November,46,Q4,High
Social_FB,2025-11-15,19044,212,145.01,4,0.011132115101869355,0.684,36.2525,Social,Saturday,November,46,Q4,Medium
Social_IG,2025-11-15,16563,293,371.22,9,0.017690031999033993,1.267,41.2467,Social,Saturday,November,46,Q4,Medium
Display_Programmatic,2025-11-16,23637,279,233.92,4,0.011803528366543978,0.8384,58.48,Display,Sunday,November,46,Q4,Medium
Email_Newsletter,2025-11-16,4700,243,148.68,17,0.051702127659574465,0.6119,8.7459,Email,Sunday,November,46,Q4,High
Search_Google,2025-11-16,5427,243,405.04,18,0.04477611940298507,1.6668,22.5022,Search,Sunday,November,46,Q4,High
Social_FB,2025-11-16,18264,456,694.44,13,0.024967148488830485,1.5229,53.4185,Social,Sunday,November,46,Q4,Medium
Social_IG,2025-11-16,17200,349,216.49,9,0.020290697674418604,0.6203,24.0544,Social,Sunday,November,46,Q4,Medium
Display_Programmatic,2025-11-17,31674,248,193.62,3,0.007829765738460568,0.7807,64.54,Display,Monday,November,47,Q4,Low
Email_Newsletter,2025-11-17,8920,378,191.01,22,0.04237668161434978,0.5053,8.6823,Email,Monday,November,47,Q4,High
Search_Google,2025-11-17,13009,517,1421.81,27,0.03974171727265739,2.7501,52.6596,Search,Monday,November,47,Q4,High
Social_FB,2025-11-17,14260,302,445.52,14,0.021178120617110798,1.4752,31.8229,Social,Monday,November,47,Q4,Medium
Social_IG,2025-11-17,13936,276,156.78,10,0.019804822043628014,0.568,15.678,Social,Monday,November,47,Q4,Medium
Display_Programmatic,2025-11-18,37000,377,164.53,6,0.01018918918918919,0.4364,27.4217,Display,Tuesday,November,47,Q4,Medium
Email_Newsletter,2025-11-18,5633,187,143.56,8,0.03319723060536126,0.7677,17.945,Email,Tuesday,November,47,Q4,High
Search_Google,2025-11-18,7220,403,811.43,17,0.055817174515235456,2.0135,47.7312,Search,Tuesday,November,47,Q4,High
Social_FB,2025-11-18,20072,418,583.47,11,0.020825029892387405,1.3959,53.0427,Social,Tuesday,November,47,Q4,Medium
Social_IG,2025-11-18,12336,129,84.1,2,0.010457198443579766,0.6519,42.05,Social,Tuesday,November,47,Q4,Medium
Display_Programmatic,2025-11-19,29061,204,105.28,3,0.007019717146691442,0.5161,35.0933,Display,Wednesday,November,47,Q4,Low
Email_Newsletter,2025-11-19,6484,171,128.48,15,0.026372609500308453,0.7513,8.5653,Email,Wednesday,November,47,Q4,Medium
Search_Google,2025-11-19,8816,419,1233.1,34,0.047527223230490016,2.943,36.2676,Search,Wednesday,November,47,Q4,High
Social_FB,2025-11-19,21229,283,275.38,7,0.013330821046681426,0.9731,39.34,Social,Wednesday,November,47,Q4,Medium
Social_IG,2025-11-19,18099,337,367.98,10,0.018619813249350792,1.0919,36.798,Social,Wednesday,November,47,Q4,Medium
Display_Programmatic,2025-11-20,11663,61,39.02,1,0.0052302152104947265,0.6397,39.02,Display,Thursday,November,47,Q4,Low
Email_Newsletter,2025-11-20,3356,79,30.89,4,0.023539928486293205,0.391,7.7225,Email,Thursday,November,47,Q4,Medium
Search_Google,2025-11-20,9654,242,532.8,12,0.025067329604309095,2.2017,44.4,Search,Thursday,November,47,Q4,Medium
Social_FB,2025-11-20,10676,221,308.47,9,0.020700636942675158,1.3958,34.2744,Social,Thursday,November,47,Q4,Medium
Social_IG,2025-11-20,14705,238,248.11,8,0.016184971098265895,1.0425,31.0138,Social,Thursday,November,47,Q4,Medium
Display_Programmatic,2025-11-21,16648,158,118.02,2,0.009490629505045652,0.747,59.01,Display,Friday,November,47,Q4,Low
Email_Newsletter,2025-11-21,7834,208,110.19,14,0.02655093183558846,0.5298,7.8707,Email,Friday,November,47,Q4,Medium
Search_Google,2025-11-21,12035,243,624.78,22,0.020191109264644787,2.5711,28.3991,Search,Friday,November,47,Q4,Medium
Social_FB,2025-11-21,18571,244,167.42,11,0.013138764740724786,0.6861,15.22,Social,Friday,November,47,Q4,Medium
Social_IG,2025-11-21,7644,136,181.37,6,0.017791732077446363,1.3336,30.2283,Social,Friday,November,47,Q4,Medium
Display_Programmatic,2025-11-22,12167,111,88.5,2,0.009123037724993836,0.7973,44.25,Display,Saturday,November,47,Q4,Low
Email_Newsletter,2025-11-22,4138,198,165.65,10,0.047849202513291444,0.8366,16.565,Email,Saturday,November,47,Q4,High
Search_Google,2025-11-22,9610,403,1132.66,19,0.041935483870967745,2.8106,59.6137,Search,Saturday,November,47,Q4,High
Social_FB,2025-11-22,13892,331,391.68,7,0.023826662827526632,1.1833,55.9543,Social,Saturday,November,47,Q4,Medium
Social_IG,2025-11-22,12756,197,156.51,3,0.015443712762621511,0.7945,52.17,Social,Saturday,November,47,Q4,Medium
Display_Programmatic,2025-11-23,28837,259,170.23,3,0.008981516801331623,0.6573,56.7433,Display,Sunday,November,47,Q4,Low
Email_Newsletter,2025-11-23,4273,188,142.94,15,0.043997191668616896,0.7603,9.5293,Email,Sunday,November,47,Q4,High
Search_Google,2025-11-23,12504,625,2002.94,49,0.049984005118362124,3.2047,40.8763,Search,Sunday,November,47,Q4,High
Social_FB,2025-11-23,17663,216,318.05,9,0.012228953178961671,1.4725,35.3389,Social,Sunday,November,47,Q4,Medium
Social_IG,2025-11-23,15452,324,200.49,11,0.020968159461558375,0.6188,18.2264,Social,Sunday,November,47,Q4,Medium
Display_Programmatic,2025-11-24,37857,366,419.2,5,0.009667961011173627,1.1454,83.84,Display,Monday,November,48,Q4,Low
Email_Newsletter,2025-11-24,5459,157,43.33,16,0.02875984612566404,0.276,2.7081,Email,Monday,November,48,Q4,Medium
Search_Google,2025-11-24,5590,187,624.5,8,0.033452593917710195,3.3396,78.0625,Search,Monday,November,48,Q4,High
Social_FB,2025-11-24,13403,255,377.64,6,0.019025591285533088,1.4809,62.94,Social,Monday,November,48,Q4,Medium
Social_IG,2025-11-24,8821,79,79.48,2,0.008955900691531573,1.0061,39.74,Social,Monday,November,48,Q4,Low
Display_Programmatic,2025-11-25,13646,72,37.33,1,0.005276271434852704,0.5185,37.33,Display,Tuesday,November,48,Q4,Low
Email_Newsletter,2025-11-25,5437,152,67.93,12,0.027956593709766414,0.4469,5.6608,Email,Tuesday,November,48,Q4,Medium
Search_Google,2025-11-25,7329,358,1061.37,27,0.04884704598171647,2.9647,39.31,Search,Tuesday,November,48,Q4,High
Social_FB,2025-11-25,14520,374,503.16,11,0.025757575757575757,1.3453,45.7418,Social,Tuesday,November,48,Q4,Medium
Social_IG,2025-11-25,14263,205,202.47,6,0.014372852836009255,0.9877,33.745,Social,Tuesday,November,48,Q4,Medium
Display_Programmatic,2025-11-26,12800,51,47.38,1,0.003984375,0.929,47.38,Display,Wednesday,November,48,Q4,Low
Email_Newsletter,2025-11-26,4985,158,64.19,11,0.0316950852557673,0.4063,5.8355,Email,Wednesday,November,48,Q4,High
Search_Google,2025-11-26,8918,206,743.78,8,0.023099349629961876,3.6106,92.9725,Search,Wednesday,November,48,Q4,Medium
Social_FB,2025-11-26,9120,189,300.97,4,0.020723684210526314,1.5924,75.2425,Social,Wednesday,November,48,Q4,Medium
Social_IG,2025-11-26,10094,181,192.17,3,0.017931444422429166,1.0617,64.0567,Social,Wednesday,November,48,Q4,Medium
Display_Programmatic,2025-11-27,15610,175,130.87,2,0.011210762331838564,0.7478,65.435,Display,Thursday,November,48,Q4,Medium
Email_Newsletter,2025-11-27,5585,291,187.1,21,0.05210384959713518,0.643,8.9095,Email,Thursday,November,48,Q4,High
Search_Google,2025-11-27,11562,392,897.49,30,0.03390416882892233,2.2895,29.9163,Search,Thursday,November,48,Q4,High
Social_FB,2025-11-27,19034,209,272.88,6,0.010980350950929915,1.3056,45.48,Social,Thursday,November,48,Q4,Medium
Social_IG,2025-11-27,18602,179,245.57,5,0.009622621223524351,1.3719,49.114,Social,Thursday,November,48,Q4,Low
Display_Programmatic,2025-11-28,16282,115,77.49,2,0.007063014371698808,0.6738,38.745,Display,Friday,November,48,Q4,Low
Email_Newsletter,2025-11-28,7723,361,158.81,19,0.04674349346109025,0.4399,8.3584,Email,Friday,November,48,Q4,High
Search_Google,2025-11-28,8400,295,783.74,24,0.03511904761904762,2.6567,32.6558,Search,Friday,November,48,Q4,High
Social_FB,2025-11-28,17609,235,211.61,6,0.013345448350275428,0.9005,35.2683,Social,Friday,November,48,Q4,Medium
Social_IG,2025-11-28,8827,97,67.36,4,0.01098901098901099,0.6944,16.84,Social,Friday,November,48,Q4,Medium
Display_Programmatic,2025-11-29,28041,228,181.67,4,0.008130951107307157,0.7968,45.4175,Display,Saturday,November,48,Q4,Low
Email_Newsletter,2025-11-29,4107,224,186.38,20,0.05454102751400049,0.8321,9.319,Email,Saturday,November,48,Q4,High
Search_Google,2025-11-29,9249,270,319.46,19,0.029192345118391177,1.1832,16.8137,Search,Saturday,November,48,Q4,Medium
Social_FB,2025-11-29,22120,370,456.28,10,0.016726943942133816,1.2332,45.628,Social,Saturday,November,48,Q4,Medium
Social_IG,2025-11-29,18952,411,524.28,15,0.021686365555086535,1.2756,34.952,Social,Saturday,November,48,Q4,Medium
Display_Programmatic,2025-11-30,28032,294,269.27,3,0.010488013698630137,0.9159,89.7567,Display,Sunday,November,48,Q4,Medium
Email_Newsletter,2025-11-30,6541,198,140.54,23,0.03027060082556184,0.7098,6.1104,Email,Sunday,November,48,Q4,High
Search_Google,2025-11-30,9679,326,726.25,16,0.03368116540964976,2.2278,45.3906,Search,Sunday,November,48,Q4,High
Social_FB,2025-11-30,19858,203,153.17,4,0.010222580320273945,0.7545,38.2925,Social,Sunday,November,48,Q4,Medium
Social_IG,2025-11-30,8912,181,221.69,6,0.020309694793536805,1.2248,36.9483,Social,Sunday,November,48,Q4,Medium
Display_Programmatic,2025-12-01,21017,194,189.36,3,0.009230622829138316,0.9761,63.12,Display,Monday,December,49,Q4,Low
Email_Newsletter,2025-12-01,4126,166,104.1,11,0.04023267086766844,0.6271,9.4636,Email,Monday,December,49,Q4,High
Search_Google,2025-12-01,10672,273,1035.42,22,0.02558095952023988,3.7927,47.0645,Search,Monday,December,49,Q4,Medium
Social_FB,2025-12-01,22047,414,575.94,19,0.018778065042862974,1.3912,30.3126,Social,Monday,December,49,Q4,Medium
Social_IG,2025-12-01,9159,139,157.49,5,0.015176329293591003,1.133,31.498,Social,Monday,December,49,Q4,Medium
Display_Programmatic,2025-12-02,16601,160,124.12,1,0.009637973616047226,0.7758,124.12,Display,Tuesday,December,49,Q4,Low
Email_Newsletter,2025-12-02,2450,121,106.16,9,0.04938775510204082,0.8774,11.7956,Email,Tuesday,December,49,Q4,High
Search_Google,2025-12-02,6911,250,564.61,19,0.03617421501953408,2.2584,29.7163,Search,Tuesday,December,49,Q4,High
Social_FB,2025-12-02,15768,197,177.5,5,0.012493658041603246,0.901,35.5,Social,Tuesday,December,49,Q4,Medium
Social_IG,2025-12-02,14621,240,179.04,8,0.016414745913412215,0.746,22.38,Social,Tuesday,December,49,Q4,Medium
Display_Programmatic,2025-12-03,11864,109,61.38,1,0.00918745785569791,0.5631,61.38,Display,Wednesday,December,49,Q4,Low
Email_Newsletter,2025-12-03,3691,74,17.73,9,0.020048767271742075,0.2396,1.97,Email,Wednesday,December,49,Q4,Medium
Search_Google,2025-12-03,4577,178,373.25,10,0.03889010268734979,2.0969,37.325,Search,Wednesday,December,49,Q4,High
Social_FB,2025-12-03,11521,309,235.37,13,0.026820588490582414,0.7617,18.1054,Social,Wednesday,December,49,Q4,Medium
Social_IG,2025-12-03,8620,171,221.99,6,0.019837587006960557,1.2982,36.9983,Social,Wednesday,December,49,Q4,Medium
Display_Programmatic,2025-12-04,24197,224,178.84,2,0.009257345951977518,0.7984,89.42,Display,Thursday,December,49,Q4,Low
Email_Newsletter,2025-12-04,7724,405,267.64,24,0.05243397203521492,0.6608,11.1517,Email,Thursday,December,49,Q4,High
Search_Google,2025-12-04,10221,487,903.6,40,0.047647001271891205,1.8554,22.59,Search,Thursday,December,49,Q4,High
Social_FB,2025-12-04,16146,201,201.37,10,0.01244890375325158,1.0018,20.137,Social,Thursday,December,49,Q4,Medium
Social_IG,2025-12-04,8438,181,206.53,6,0.021450580706328513,1.141,34.4217,Social,Thursday,December,49,Q4,Medium
Display_Programmatic,2025-12-05,13531,55,47.06,0,0.0040647402261473654,0.8556,0.0,Display,Friday,December,49,Q4,Low
Email_Newsletter,2025-12-05,6253,214,167.11,19,0.03422357268511115,0.7809,8.7953,Email,Friday,December,49,Q4,High
Search_Google,2025-12-05,8300,339,964.87,24,0.040843373493975904,2.8462,40.2029,Search,Friday,December,49,Q4,High
Social_FB,2025-12-05,19416,236,177.19,10,0.012154923774206839,0.7508,17.719,Social,Friday,December,49,Q4,Medium
Social_IG,2025-12-05,14778,314,425.61,9,0.021247800784950602,1.3554,47.29,Social,Friday,December,49,Q4,Medium
Display_Programmatic,2025-12-06,21028,154,84.41,2,0.007323568575233023,0.5481,42.205,Display,Saturday,December,49,Q4,Low
Email_Newsletter,2025-12-06,3519,112,75.66,9,0.031827223643080424,0.6755,8.4067,Email,Saturday,December,49,Q4,High
Search_Google,2025-12-06,8551,195,245.92,7,0.022804350368377968,1.2611,35.1314,Search,Saturday,December,49,Q4,Medium
Social_FB,2025-12-06,25231,655,509.39,25,0.025960128413459634,0.7777,20.3756,Social,Saturday,December,49,Q4,Medium
Social_IG,2025-12-06,10538,230,160.74,3,0.021825773391535394,0.6989,53.58,Social,Saturday,December,49,Q4,Medium
Display_Programmatic,2025-12-07,21299,177,182.94,3,0.008310249307479225,1.0336,60.98,Display,Sunday,December,49,Q4,Low
Email_Newsletter,2025-12-07,7742,321,276.94,18,0.04146215448204598,0.8627,15.3856,Email,Sunday,December,49,Q4,High
Search_Google,2025-12-07,12656,597,2295.99,28,0.04717130214917826,3.8459,81.9996,Search,Sunday,December,49,Q4,High
Social_FB,2025-12-07,20857,342,295.82,9,0.01639737258474373,0.865,32.8689,Social,Sunday,December,49,Q4,Medium
Social_IG,2025-12-07,14950,178,99.11,7,0.011906354515050167,0.5568,14.1586,Social,Sunday,December,49,Q4,Medium
